CountyName,TimeStamp,ConfirmedCovidCases
Offaly,2020-03-08,0
Roscommon,2020-03-08,0
Sligo,2020-03-08,0
Tipperary,2020-03-08,0
Waterford,2020-03-08,0
Westmeath,2020-03-08,0
Wexford,2020-03-08,0
Wicklow,2020-03-08,0
Carlow,2020-03-09,0
Cavan,2020-03-09,0
Clare,2020-03-09,0
Cork,2020-03-09,0
Donegal,2020-03-09,0
Dublin,2020-03-09,0
Galway,2020-03-09,0
Kerry,2020-03-09,0
Kildare,2020-03-09,0
Kilkenny,2020-03-09,0
Laois,2020-03-09,0
Leitrim,2020-03-09,0
Limerick,2020-03-09,0
Longford,2020-03-09,0
Louth,2020-03-09,0
Mayo,2020-03-09,0
Meath,2020-03-09,0
Monaghan,2020-03-09,0
Offaly,2020-03-09,0
Roscommon,2020-03-09,0
Sligo,2020-03-09,0
Tipperary,2020-03-09,0
Waterford,2020-03-09,0
Westmeath,2020-03-09,0
Wexford,2020-03-09,0
Wicklow,2020-03-09,0
Carlow,2020-03-10,0
Cavan,2020-03-10,0
Clare,2020-03-10,0
Cork,2020-03-10,0
Donegal,2020-03-10,0
Dublin,2020-03-10,0
Galway,2020-03-10,0
Kerry,2020-03-10,0
Kildare,2020-03-10,0
Kilkenny,2020-03-10,0
Laois,2020-03-10,0
Leitrim,2020-03-10,0
Limerick,2020-03-10,0
Longford,2020-03-10,0
Louth,2020-03-10,0
Mayo,2020-03-10,0
Meath,2020-03-10,0
Monaghan,2020-03-10,0
Offaly,2020-03-10,0
Roscommon,2020-03-10,0
Sligo,2020-03-10,0
Tipperary,2020-03-10,0
Waterford,2020-03-10,0
Westmeath,2020-03-10,0
Wexford,2020-03-10,0
Wicklow,2020-03-10,0
Carlow,2020-03-11,0
Cavan,2020-03-11,0
Clare,2020-03-11,0
Cork,2020-03-11,0
Donegal,2020-03-11,0
Dublin,2020-03-11,0
Galway,2020-03-11,0
Kerry,2020-03-11,0
Kildare,2020-03-11,0
Kilkenny,2020-03-11,0
Laois,2020-03-11,0
Leitrim,2020-03-11,0
Limerick,2020-03-11,0
Longford,2020-03-11,0
Louth,2020-03-11,0
Mayo,2020-03-11,0
Meath,2020-03-11,0
Monaghan,2020-03-11,0
Offaly,2020-03-11,0
Roscommon,2020-03-11,0
Sligo,2020-03-11,0
Tipperary,2020-03-11,0
Waterford,2020-03-11,0
Westmeath,2020-03-11,0
Wexford,2020-03-11,0
Wicklow,2020-03-11,0
Carlow,2020-03-12,0
Cavan,2020-03-12,0
Clare,2020-03-12,0
Cork,2020-03-12,0
Donegal,2020-03-12,0
Dublin,2020-03-12,0
Galway,2020-03-12,0
Kerry,2020-03-12,0
Kildare,2020-03-12,0
Kilkenny,2020-03-12,0
Laois,2020-03-12,0
Leitrim,2020-03-12,0
Limerick,2020-03-12,0
Longford,2020-03-12,0
Louth,2020-03-12,0
Mayo,2020-03-12,0
Meath,2020-03-12,0
Monaghan,2020-03-12,0
Offaly,2020-03-12,0
Roscommon,2020-03-12,0
Sligo,2020-03-12,0
Tipperary,2020-03-12,0
Waterford,2020-03-12,0
Westmeath,2020-03-12,0
Wexford,2020-03-12,0
Wicklow,2020-03-12,0
Carlow,2020-03-13,0
Cavan,2020-03-13,0
Clare,2020-03-13,0
Cork,2020-03-13,0
Donegal,2020-03-13,0
Dublin,2020-03-13,0
Galway,2020-03-13,0
Kerry,2020-03-13,0
Kildare,2020-03-13,0
Kilkenny,2020-03-13,0
Laois,2020-03-13,0
Leitrim,2020-03-13,0
Limerick,2020-03-13,0
Longford,2020-03-13,0
Louth,2020-03-13,0
Mayo,2020-03-13,0
Meath,2020-03-13,0
Monaghan,2020-03-13,0
Offaly,2020-03-13,0
Roscommon,2020-03-13,0
Sligo,2020-03-13,0
Tipperary,2020-03-13,0
Waterford,2020-03-13,0
Westmeath,2020-03-13,0
Wexford,2020-03-13,0
Wicklow,2020-03-13,0
Carlow,2020-03-14,0
Cavan,2020-03-14,0
Clare,2020-03-14,0
Cork,2020-03-14,0
Donegal,2020-03-14,0
Dublin,2020-03-14,0
Galway,2020-03-14,0
Kerry,2020-03-14,0
Kildare,2020-03-14,0
Kilkenny,2020-03-14,0
Laois,2020-03-14,0
Leitrim,2020-03-14,0
Limerick,2020-03-14,0
Longford,2020-03-14,0
Louth,2020-03-14,0
Mayo,2020-03-14,0
Meath,2020-03-14,0
Monaghan,2020-03-14,0
Offaly,2020-03-14,0
Roscommon,2020-03-14,0
Sligo,2020-03-14,0
Tipperary,2020-03-14,0
Waterford,2020-03-14,0
Westmeath,2020-03-14,0
Wexford,2020-03-14,0
Wicklow,2020-03-14,0
Carlow,2020-03-15,0
Cavan,2020-03-15,0
Clare,2020-03-15,0
Cork,2020-03-15,0
Donegal,2020-03-15,0
Dublin,2020-03-15,0
Galway,2020-03-15,0
Kerry,2020-03-15,0
Kildare,2020-03-15,0
Kilkenny,2020-03-15,0
Laois,2020-03-15,0
Leitrim,2020-03-15,0
Limerick,2020-03-15,0
Longford,2020-03-15,0
Louth,2020-03-15,0
Mayo,2020-03-15,0
Meath,2020-03-15,0
Monaghan,2020-03-15,0
Offaly,2020-03-15,0
Roscommon,2020-03-15,0
Sligo,2020-03-15,0
Tipperary,2020-03-15,0
Waterford,2020-03-15,0
Westmeath,2020-03-15,0
Wexford,2020-03-15,0
Wicklow,2020-03-15,0
Carlow,2020-03-16,0
Cavan,2020-03-16,0
Clare,2020-03-16,0
Cork,2020-03-16,0
Donegal,2020-03-16,0
Dublin,2020-03-16,0
Galway,2020-03-16,0
Kerry,2020-03-16,0
Kildare,2020-03-16,0
Kilkenny,2020-03-16,0
Laois,2020-03-16,0
Leitrim,2020-03-16,0
Limerick,2020-03-16,0
Longford,2020-03-16,0
Louth,2020-03-16,0
Mayo,2020-03-16,0
Meath,2020-03-16,0
Monaghan,2020-03-16,0
Offaly,2020-03-16,0
Roscommon,2020-03-16,0
Sligo,2020-03-16,0
Tipperary,2020-03-16,0
Waterford,2020-03-16,0
Westmeath,2020-03-16,0
Wexford,2020-03-16,0
Wicklow,2020-03-16,0
Carlow,2020-03-17,0
